,Feature name,Source,Unique count,Min,Max,Notes
654,shampoo,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
655,wheelchair_accessible,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
656,air_purifier,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
657,tv,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
658,paid_parking_on_premises,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
659,fixed_grab_bars_for_toilet,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
660,dog(s),flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
661,toilet_paper,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
662,breakfast,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
663,accessible-height_toilet,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
664,fire_extinguisher,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
665,children���s_dinnerware,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
666,long_term_stays_allowed,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
667,carbon_monoxide_detector,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
668,dishes_and_silverware,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
669,microwave,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
670,step-free_access,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
671,refrigerator,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
672,keypad,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
673,table_corner_guards,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
674,lockbox,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
675,baby_bath,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
676,wide_clearance_to_shower,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
677,buzzer/wireless_intercom,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
678,private_living_room,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
679,accessible-height_bed,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
680,coffee_maker,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
681,roll-in_shower,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
