,var1,var2,target,correlation_between_vars,pvalue_between_vars,correlation_var1_target,pvalue_var1_target,correlation_var2_target,pvalue_var2_target
475,host_response_rate,review_scores_cleanliness,booked_up_target,0.11801775914965573,4.412300038329851e-186,0.05687099554886183,1.5078495060686141e-49,-0.03818798720697684,3.342329599585784e-42
380,calculated_host_listings_count,guests_included,booked_up_target,0.11758175227571249,0.0,-0.26858612155055434,0.0,-0.13652558379294602,0.0
750,maximum_nights,DaysPassed_first_review,booked_up_target,0.11675418546608618,0.0,-0.071078975527342,6.683007734092576e-176,-0.10428161991573853,0.0
722,guests_included,DaysPassed_first_review,booked_up_target,0.11627717788059623,0.0,-0.13652558379294602,0.0,-0.10428161991573853,0.0
272,number_of_reviews,host_response_rate,booked_up_target,0.11625167521183026,4.9722406903357895e-202,-0.2729557845542424,0.0,0.05687099554886183,1.5078495060686141e-49
721,guests_included,availability_90,booked_up_target,0.11576220954804814,0.0,-0.13652558379294602,0.0,-0.5596518136286611,0.0
853,review_scores_communication,concat_comments_subjectivity,booked_up_target,0.11468142758174832,2.0412491685019683e-242,0.051294711507698695,1.0441928544136766e-74,0.07094443584457692,1.922848046607934e-95
720,guests_included,availability_60,booked_up_target,0.11358232411169383,0.0,-0.13652558379294602,0.0,-0.4970063557162694,0.0
489,host_total_listings_count,monthly_price,booked_up_target,0.1134458318981031,3.306392447702844e-54,-0.2675121518317726,0.0,-0.19150651222022122,3.0437457760240204e-153
255,minimum_nights,DaysPassed_first_review,booked_up_target,0.11269777477743174,0.0,-0.01939781383557405,1.2798160805315371e-14,-0.10428161991573853,0.0
865,review_scores_value,target_num_of_booked_days,booked_up_target,0.11120601363248976,0.0,0.1259661355614989,0.0,0.8003208263860638,0.0
24,target_avg_dollar_price_in_period,extra_people,booked_up_target,0.10875244904838056,1.2092271326080554e-115,,,-0.1755546907458696,0.0
72,occupancy_last_period,review_scores_rating,booked_up_target,0.10855202443817977,0.0,0.6967989683315049,0.0,0.10938167860611937,0.0
637,square_feet,extra_people,booked_up_target,0.10854909799721542,1.196505056267965e-09,0.03708732291931967,0.038253134916969994,-0.1755546907458696,0.0
707,cleaning_fee,DaysPassed_first_review,booked_up_target,0.10671131163533781,0.0,-0.2349468508731146,0.0,-0.10428161991573853,0.0
616,beds,availability_30,booked_up_target,0.10665300779390742,0.0,-0.15576478758208406,0.0,-0.42164402061973216,0.0
866,review_scores_value,num_of_booked_days_in_previous_period,booked_up_target,0.10661718838713469,0.0,0.1259661355614989,0.0,0.6210093570040095,0.0
548,accommodates,availability_30,booked_up_target,0.10617006825371124,0.0,-0.13816239372347494,0.0,-0.42164402061973216,0.0
199,price,number_of_reviews,booked_up_target,0.10615520429544094,0.0,-0.2053554322527973,0.0,-0.2729557845542424,0.0
340,reviews_per_month,accommodates,booked_up_target,0.1040416691469992,0.0,-0.2668351808338874,0.0,-0.13816239372347494,0.0
746,extra_people,size,booked_up_target,0.10395348262795347,6.7361459055660495e-180,-0.1755546907458696,0.0,-0.10974459044601913,2.1892161157596222e-200
809,DaysPassed_first_review,size,booked_up_target,0.10367053243043949,8.2802646972953e-153,-0.10428161991573853,0.0,-0.10974459044601913,2.1892161157596222e-200
719,guests_included,availability_30,booked_up_target,0.10351957922099611,0.0,-0.13652558379294602,0.0,-0.42164402061973216,0.0
847,review_scores_checkin,concat_comments_subjectivity,booked_up_target,0.10102484356079994,3.853032062074164e-188,0.01783128387574471,2.139428127363775e-10,0.07094443584457692,1.922848046607934e-95
440,DaysPassed_host_since,guests_included,booked_up_target,0.10088111212370493,0.0,-0.07963508153886854,3.716141030266451e-220,-0.13652558379294602,0.0
225,price,review_scores_cleanliness,booked_up_target,0.1002599316874585,5.83846148823417e-281,-0.2053554322527973,0.0,-0.03818798720697684,3.342329599585784e-42
494,host_total_listings_count,maximum_nights,booked_up_target,0.0981437233707695,0.0,-0.2675121518317726,0.0,-0.071078975527342,6.683007734092576e-176
312,DaysPassed_last_review,square_feet,booked_up_target,0.09778182353840034,1.0093799587742384e-07,0.32440865324759716,0.0,0.03708732291931967,0.038253134916969994
206,price,host_total_listings_count,booked_up_target,0.09706981323538896,0.0,-0.2053554322527973,0.0,-0.2675121518317726,0.0
202,price,calculated_host_listings_count,booked_up_target,0.0967405090501905,0.0,-0.2053554322527973,0.0,-0.26858612155055434,0.0
506,host_total_listings_count,size,booked_up_target,0.09653544581165056,3.901205090618344e-155,-0.2675121518317726,0.0,-0.10974459044601913,2.1892161157596222e-200
382,calculated_host_listings_count,maximum_nights,booked_up_target,0.09646479016504876,0.0,-0.26858612155055434,0.0,-0.071078975527342,6.683007734092576e-176
797,availability_90,size,booked_up_target,0.09578098494623916,6.571350428607812e-153,-0.5596518136286611,0.0,-0.10974459044601913,2.1892161157596222e-200
53,occupancy_last_period,host_response_rate,booked_up_target,0.09576787024005962,1.8207588004885672e-137,0.6967989683315049,0.0,0.05687099554886183,1.5078495060686141e-49
